Date,Exhibition,10.00 - 11.00,11.00 - 12.00,12.00 - 13.00,13.00 - 14.00,14.00 - 15.00,15.00 - 16.00,16.00 - 17.00,17.00 - 20.00,Total
17/03/2007,Object Scores,0,0,15,3,3,6,6,0,33
16/03/2007,SUN BY EAR - KATY DOVE & VICTORIA MORTON,8,3,5,7,3,12,0,0,38
16/03/2007,Object Scores,1,1,11,12,3,7,4,0,39
15/03/2007,SUN BY EAR - KATY DOVE & VICTORIA MORTON,5,6,6,12,7,3,5,0,44
15/03/2007,Object Scores,2,5,0,5,2,1,1,0,16
14/03/2007,SUN BY EAR - KATY DOVE & VICTORIA MORTON,6,2,6,18,5,6,6,0,49
14/03/2007,Object Scores,2,2,11,5,9,2,2,0,33
13/03/2007,SUN BY EAR - KATY DOVE & VICTORIA MORTON,5,14,4,5,9,10,7,0,54
13/03/2007,Object Scores,3,5,3,8,5,10,4,0,38
11/03/2007,SUN BY EAR - KATY DOVE & VICTORIA MORTON,0,0,5,10,15,20,11,0,61
11/03/2007,Object Scores,0,0,5,6,3,7,6,0,27
10/03/2007,Object Scores,0,0,0,0,28,21,9,0,58
10/03/2007,SUN BY EAR - KATY DOVE & VICTORIA MORTON,0,0,22,17,7,10,17,0,73
09/03/2007,Object Scores,0,1,5,8,4,7,2,0,27
09/03/2007,SUN BY EAR - KATY DOVE & VICTORIA MORTON,2,4,2,4,2,1,5,0,20
08/03/2007,SUN BY EAR - KATY DOVE & VICTORIA MORTON,5,8,15,16,15,7,5,0,71
08/03/2007,Object Scores,3,1,7,10,4,6,7,0,38
07/03/2007,SUN BY EAR - KATY DOVE & VICTORIA MORTON,0,7,10,10,18,9,9,47,110
07/03/2007,Object Scores,0,0,5,3,2,3,7,8,28
06/03/2007,SUN BY EAR - KATY DOVE & VICTORIA MORTON,18,12,15,12,14,13,5,0,89
06/03/2007,Object Scores,5,3,2,4,12,13,9,0,48
04/03/2007,Object Scores,4,6,15,8,6,5,3,0,47
01/03/2007,SUN BY EAR - KATY DOVE & VICTORIA MORTON,0,0,15,12,21,18,16,0,82
01/03/2007,Object Scores,0,0,0,10,3,0,17,0,30
19/11/2006,Mark Raidpere - Shifting focus,0,0,0,0,5,5,3,3,16
18/11/2006,Mark Raidpere - Shifting focus,0,0,1.5,1.5,3.5,3.5,5.5,5.5,21
17/11/2006,Mark Raidpere - Shifting focus,0,0,2,2,1,1,3.5,3.5,29
16/11/2006,Mark Raidpere - Shifting focus,0,0,0,0,3.5,3.5,2,8,17
15/11/2006,Mark Raidpere - Shifting focus,0,0,0,0,1.5,1.5,3,3,9
14/11/2006,Mark Raidpere - Shifting focus,0,0,0,0,4,4,1.5,5.5,15
12/11/2006,Mark Raidpere - Shifting focus,0,0,0,0,5,5,3,3,16
11/11/2006,Mark Raidpere - Shifting focus,0,0,1.5,1.5,0,0,0,0,3
10/11/2006,Mark Raidpere - Shifting focus,0,0,1,1,0.5,0.5,0.5,10.5,14
09/11/2006,Mark Raidpere - Shifting focus,0,0,1.5,1.5,1,1,2,2,9
08/11/2006,Mark Raidpere - Shifting focus,0,0,0.5,0.5,2,2,0,0,5
07/11/2006,Mark Raidpere - Shifting focus,0,0,0.5,0.5,1.5,1.5,1,1,6
05/11/2006,Mark Raidpere - Shifting focus,0,0,0,0,0.5,0.5,7.5,7.5,16
04/11/2006,Mark Raidpere - Shifting focus,0,0,0,0,4,4,2,5,196
03/11/2006,Mark Raidpere - Shifting focus,0,0,1.5,1.5,3,3,1.5,2.5,13
02/11/2006,Mark Raidpere - Shifting focus,0,0,0,0,1,1,1,6,9
01/11/2006,Mark Raidpere - Shifting focus,0,0,1,1,0.5,0.5,1.5,1.5,6
31/10/2006,Mark Raidpere - Shifting focus,0,0,0,0,0,0,0.5,0.5,1
29/10/2006,Mark Raidpere - Shifting focus,0,0,0,0,3,3,7,7,20
28/10/2006,Mark Raidpere - Shifting focus,0,0,0,0,6,6,7.5,7.5,27
27/10/2006,Mark Raidpere - Shifting focus,0,0,4.5,4.5,6.5,6.5,8.5,20.5,51
26/10/2006,Mark Raidpere - Shifting focus,0,0,0.5,0.5,2.5,2.5,4,8,18
25/10/2006,Mark Raidpere - Shifting focus,0,0,2,2,2,2,1.5,7.5,17
24/10/2006,Mark Raidpere - Shifting focus,0,0,3.5,3.5,0,0,1,1,9
22/10/2006,Mark Raidpere - Shifting focus,0,0,0,0,0.5,0.5,8.5,8.5,18
21/10/2006,Mark Raidpere - Shifting focus,0,0,0,0,7.5,7.5,5.5,6.5,27
20/10/2006,Mark Raidpere - Shifting focus,0,0,1.5,1.5,6.5,6.5,2.5,21.5,40
17/09/2006,Keith Coventry,0,0,0,0,18.5,18.5,32.5,32.5,102
17/09/2006,How To Do White,0,0,0,0,6.5,6.5,19,19,51
16/09/2006,Keith Coventry,0,0,0,0,20.5,20.5,16.5,16.5,74
16/09/2006,How To Do White,0,0,0,0,7,7,8.5,10.5,19
15/09/2006,Keith Coventry,0,0,3.5,3.5,5,5,11.5,11.5,40
15/09/2006,How To Do White,0,0,1,1,2.5,2.5,3,3,13
14/09/2006,Keith Coventry,0,0,1,1,9.5,9.5,7.5,7.5,36
14/09/2006,How To Do White,0,0,3,3,3.5,3.5,1,1,15
13/09/2006,Keith Coventry,0,0,3.5,3.5,11,11,27.5,27.5,84
13/09/2006,How To Do White,0,0,1.5,1.5,2.5,2.5,1.5,1.5,11
12/09/2006,Keith Coventry,0,0,11.5,11.5,24.5,24.5,8.5,8.5,89
12/09/2006,How To Do White,0,0,2.5,2.5,8,8,0,0,21
10/09/2006,Keith Coventry,0,0,0,0,7.5,7.5,32.5,32.5,80
10/09/2006,How To Do White,0,0,0.5,0.5,3,3,8,8,23
09/09/2006,Keith Coventry,0,0,0,0,9,9,15,53,86
09/09/2006,How To Do White,0,0,2,2,1.5,1.5,7.5,7.5,22
08/09/2006,Keith Coventry,0,0,3.5,3.5,4.5,4.5,7.5,7.5,31
08/09/2006,How To Do White,0,0,0.5,0.5,3,3,2.5,2.5,12
07/09/2006,Keith Coventry,0,0,2,2,7.5,7.5,6,6,31
07/09/2006,How To Do White,0,0,1,1,2.5,2.5,1,1,9
06/09/2006,Keith Coventry,0,0,3.5,3.5,5,5,19.5,19.5,56
06/09/2006,How To Do White,0,0,2.5,2.5,3,3,1,1,0
05/09/2006,Keith Coventry,0,0,5.5,5.5,4.5,4.5,16,16,52
05/09/2006,How To Do White,0,0,2.5,2.5,2.5,2.5,5,5,20
03/09/2006,Keith Coventry,0,0,0,0,11.5,11.5,8.5,8.5,40
03/09/2006,How To Do White,0,0,0,0,3,3,18.5,18.5,43
02/09/2006,Keith Coventry,0,0,0,0,20.5,20.5,13,13,67
02/09/2006,How To Do White,0,0,0,0,5,5,3.5,3.5,17
01/09/2006,Keith Coventry,0,0,10,10,8.5,8.5,5,5,47
01/09/2006,How To Do White,0,0,2,2,3,3,1,1,12
31/08/2006,Keith Coventry,0,0,1,1,1.5,1.5,12,12,29
31/08/2006,How To Do White,0,0,0,0,1.5,1.5,5,5,13
30/08/2006,Keith Coventry,0,0,5,5,16,16,19.5,19.5,81
30/08/2006,How To Do White,0,0,1.5,1.5,4,4,5,5,21
29/08/2006,Keith Coventry,0,0,10,10,15,15,10,10,70
29/08/2006,How To Do White,0,0,2,2,8.5,8.5,3,3,27
27/08/2006,Keith Coventry,0,0,0,0,15,15,36,36,102
27/08/2006,How To Do White,0,0,0,0,4.5,4.5,17.5,17.5,44
26/08/2006,Keith Coventry,0,0,0.5,0.5,19,19,10,10,59
26/08/2006,How To Do White,0,0,0,0,9,9,7.5,7.5,33
